epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,163.406,2.66736,3.6959,2.49553,2.48032,0.18163,0.1733,0.10728,0.03547,0.20269,0.16761,0.1047,0.04135,2.55164,3.33305,2.59902,2.64099,0.00105784,0.00105784,0.00105784
31,167.962,2.59442,3.5916,2.44797,2.43437,0.26217,0.22611,0.14348,0.04797,0.29257,0.23011,0.15468,0.05634,2.48826,3.25664,2.35485,2.59278,0.00105601,0.00105601,0.00105601
32,172.498,2.63526,3.75108,2.41262,2.40843,0.25126,0.19886,0.13155,0.05034,0.27392,0.19034,0.13528,0.05625,2.41533,3.21414,2.3706,2.55221,0.00105417,0.00105417,0.00105417
33,177.07,2.56025,3.5219,2.40484,2.40604,0.25643,0.26061,0.15757,0.06159,0.25979,0.26136,0.1611,0.0696,2.35973,3.19159,2.32887,2.49443,0.00105234,0.00105234,0.00105234
34,181.559,2.54072,3.64673,2.3706,2.39283,0.25408,0.24148,0.17097,0.06206,0.25187,0.24148,0.16719,0.07412,2.3367,3.20619,2.35814,2.53741,0.00105051,0.00105051,0.00105051
35,185.962,2.49202,3.58498,2.31225,2.35739,0.29915,0.23295,0.1999,0.07233,0.29447,0.23295,0.19937,0.08361,2.3634,3.24603,2.2341,2.5335,0.00104867,0.00104867,0.00104867
36,190.5,2.5011,3.60673,2.31444,2.36078,0.37371,0.25568,0.21082,0.08619,0.38617,0.2642,0.21156,0.09667,2.33575,3.21026,2.1811,2.51492,0.00104684,0.00104684,0.00104684
37,195.034,2.45965,3.65602,2.29325,2.31687,0.33572,0.26705,0.21789,0.08467,0.35482,0.26989,0.22287,0.09743,2.27973,3.1485,2.16858,2.43152,0.00104501,0.00104501,0.00104501
38,199.706,2.43757,3.60662,2.21358,2.32389,0.41201,0.25481,0.23482,0.09494,0.41661,0.25765,0.23387,0.10647,2.24598,3.11342,2.1515,2.42541,0.00104317,0.00104317,0.00104317
39,204.155,2.38194,3.55703,2.16098,2.26974,0.34664,0.29545,0.24043,0.09486,0.3631,0.28125,0.24119,0.10829,2.17251,3.10367,2.16666,2.39768,0.00104134,0.00104134,0.00104134
40,208.786,2.35836,3.51451,2.22485,2.29709,0.3546,0.29261,0.22641,0.08612,0.37417,0.29261,0.23906,0.10106,2.3251,3.08196,2.10758,2.46897,0.00103951,0.00103951,0.00103951
41,213.499,2.33025,3.54514,2.09277,2.20455,0.44499,0.31818,0.3022,0.11676,0.41196,0.32955,0.29548,0.12894,2.2114,3.04563,2.04908,2.34946,0.00103767,0.00103767,0.00103767
42,217.977,2.34593,3.50552,2.16358,2.21557,0.40509,0.33807,0.29175,0.12042,0.40509,0.33807,0.29284,0.13769,2.11854,2.97283,2.06349,2.28539,0.00103584,0.00103584,0.00103584
43,222.443,2.37369,3.56306,2.14642,2.24499,0.40439,0.33523,0.28699,0.11637,0.42368,0.31818,0.28213,0.13656,2.10583,2.98244,1.96796,2.26401,0.00103401,0.00103401,0.00103401
44,227.207,2.29375,3.44128,2.03157,2.10103,0.32708,0.30682,0.24647,0.10251,0.3553,0.29545,0.23986,0.10592,2.1045,3.03421,2.19912,2.24107,0.00103217,0.00103217,0.00103217
45,231.647,2.28195,3.4543,2.10342,2.19813,0.45209,0.33239,0.31711,0.13008,0.47626,0.34358,0.32171,0.14714,2.08249,2.96333,1.94514,2.26811,0.00103034,0.00103034,0.00103034
46,236.285,2.27668,3.62044,2.03723,2.20477,0.39689,0.35227,0.29266,0.12695,0.40182,0.33807,0.29131,0.13613,2.03456,3.03578,2.06503,2.23498,0.00102851,0.00102851,0.00102851
47,240.865,2.24932,3.50872,1.98559,2.13277,0.50232,0.3267,0.34284,0.15422,0.50232,0.3267,0.33916,0.17114,2.04272,3.00701,1.91914,2.26598,0.00102668,0.00102668,0.00102668
48,245.498,2.19935,3.3756,1.9491,2.06568,0.58923,0.36364,0.39653,0.17256,0.57228,0.35795,0.38257,0.19082,1.99074,2.97455,1.86297,2.21129,0.00102484,0.00102484,0.00102484
49,249.797,2.1741,3.41548,1.979,2.0836,0.53059,0.36648,0.35765,0.15057,0.51092,0.35795,0.36631,0.17416,2.10494,2.89391,1.90887,2.24949,0.00102301,0.00102301,0.00102301
50,254.408,2.1953,3.47982,1.92293,2.04493,0.56517,0.34375,0.36965,0.17008,0.56314,0.34943,0.35971,0.18135,2.00664,2.85038,1.85068,2.21901,0.00102118,0.00102118,0.00102118
51,258.673,2.09569,3.3244,1.96888,2.09447,0.50415,0.38068,0.36373,0.16368,0.52507,0.34659,0.3514,0.17525,2.03541,2.85485,1.90644,2.22903,0.00101934,0.00101934,0.00101934
52,263.21,2.13194,3.38767,1.94987,2.06594,0.4279,0.35227,0.32164,0.14633,0.43438,0.34659,0.31369,0.15892,1.94071,2.89917,1.81588,2.16413,0.00101751,0.00101751,0.00101751
53,267.539,2.18569,3.43149,1.95477,2.03808,0.50433,0.39205,0.38143,0.18345,0.51407,0.40341,0.38674,0.20532,1.87072,2.85717,1.80555,2.11677,0.00101568,0.00101568,0.00101568
54,272.173,2.13964,3.37327,1.85994,1.99536,0.55217,0.4233,0.40812,0.19252,0.54866,0.41761,0.40167,0.20797,1.88935,2.89716,1.80519,2.10741,0.00101384,0.00101384,0.00101384
55,276.733,2.07401,3.29262,1.8443,1.96926,0.56366,0.37433,0.39401,0.18398,0.58437,0.37148,0.39133,0.20002,1.9018,2.84552,1.83261,2.11861,0.00101201,0.00101201,0.00101201
56,281.229,2.05972,3.36811,1.85938,2.0033,0.6075,0.41772,0.43966,0.19877,0.58684,0.40352,0.41578,0.2124,1.87568,2.87364,1.88473,2.06917,0.00101018,0.00101018,0.00101018
57,286.269,2.06177,3.36533,1.77612,1.95157,0.66419,0.4233,0.4507,0.22755,0.67399,0.42898,0.45828,0.25064,1.86071,2.77513,1.79385,2.04551,0.00100834,0.00100834,0.00100834
58,291.423,2.07394,3.34719,1.79859,1.93416,0.60634,0.40909,0.43157,0.22049,0.6192,0.41477,0.43136,0.23707,1.80317,2.79502,1.7938,2.00025,0.00100651,0.00100651,0.00100651
59,296.245,2.06394,3.35139,1.75478,1.8916,0.60056,0.41193,0.45735,0.22497,0.58556,0.40057,0.43618,0.24031,1.80948,2.80178,1.67533,2.01463,0.00100468,0.00100468,0.00100468
60,301.112,2.05859,3.36358,1.7569,1.90089,0.57394,0.40566,0.40787,0.21221,0.54293,0.42614,0.39358,0.21798,1.7667,2.83205,1.75979,2.01422,0.00100284,0.00100284,0.00100284
61,305.662,1.99797,3.23483,1.75395,1.89452,0.55409,0.43182,0.42589,0.22551,0.53911,0.4375,0.42112,0.23087,1.7896,2.80506,1.73303,2.00886,0.00100101,0.00100101,0.00100101
62,310.251,2.03047,3.37139,1.78823,1.91167,0.71873,0.38475,0.44578,0.22748,0.73041,0.375,0.43812,0.23555,1.83265,2.82053,1.6945,2.04939,0.000999178,0.000999178,0.000999178
63,315.074,1.9803,3.31532,1.65293,1.83733,0.60465,0.41761,0.44322,0.22563,0.59231,0.40909,0.42827,0.23373,1.8316,2.72663,1.6707,1.98911,0.000997345,0.000997345,0.000997345
64,319.629,1.95239,3.28092,1.70419,1.89623,0.66519,0.44318,0.46951,0.22616,0.63823,0.42614,0.43799,0.23841,1.81257,2.81927,1.73649,1.96804,0.000995512,0.000995512,0.000995512
65,324.423,1.97625,3.3367,1.68103,1.85291,0.66916,0.43095,0.44853,0.22135,0.65696,0.42045,0.42916,0.22971,1.76801,2.7479,1.71323,1.94202,0.000993678,0.000993678,0.000993678
66,329.22,1.98388,3.30744,1.68795,1.85321,0.68016,0.43182,0.45227,0.23562,0.67794,0.42459,0.43952,0.24646,1.71413,2.72403,1.64964,1.94021,0.000991845,0.000991845,0.000991845
67,333.897,1.94506,3.21681,1.61043,1.81377,0.62353,0.46023,0.46537,0.23382,0.61289,0.46023,0.45534,0.25035,1.75566,2.75576,1.62058,1.92508,0.000990012,0.000990012,0.000990012
68,338.584,1.96522,3.26385,1.65748,1.83665,0.67137,0.4233,0.47007,0.23663,0.67931,0.4233,0.4536,0.24282,1.77106,2.67977,1.63802,1.95843,0.000988179,0.000988179,0.000988179
69,343.066,1.9202,3.24809,1.68104,1.84679,0.6432,0.44318,0.48605,0.25213,0.63083,0.43466,0.46527,0.2545,1.71014,2.68974,1.55659,1.92774,0.000986346,0.000986346,0.000986346
70,347.813,1.89753,3.16933,1.62242,1.79824,0.68469,0.43182,0.46665,0.25124,0.6677,0.42045,0.45382,0.2572,1.69831,2.70892,1.58117,1.92932,0.000984513,0.000984513,0.000984513
71,352.523,1.84101,3.15437,1.59159,1.76494,0.70555,0.47443,0.51202,0.27182,0.69036,0.47159,0.50322,0.28396,1.68248,2.74481,1.49239,1.86798,0.000982679,0.000982679,0.000982679
72,356.991,1.82893,3.11092,1.61302,1.78726,0.77212,0.40625,0.46841,0.25143,0.77405,0.39773,0.45833,0.25255,1.6983,2.66821,1.58832,1.9347,0.000980846,0.000980846,0.000980846
73,361.413,1.8389,3.0788,1.59958,1.78123,0.64555,0.46048,0.50267,0.25925,0.67763,0.4517,0.48111,0.27493,1.69434,2.73394,1.55437,1.86916,0.000979013,0.000979013,0.000979013
74,365.974,1.85636,3.12568,1.57263,1.74272,0.63995,0.47727,0.51906,0.27372,0.65135,0.46023,0.50611,0.28055,1.67518,2.78682,1.68866,1.81969,0.00097718,0.00097718,0.00097718
75,370.642,1.83559,3.18774,1.51484,1.73483,0.72061,0.44318,0.51754,0.26836,0.70859,0.43466,0.48858,0.27135,1.68271,2.70389,1.48579,1.85797,0.000975347,0.000975347,0.000975347
76,375.447,1.87656,3.19982,1.5534,1.76442,0.7249,0.46875,0.51512,0.27874,0.71172,0.46023,0.49216,0.27595,1.68079,2.64167,1.50265,1.8426,0.000973514,0.000973514,0.000973514
77,380.149,1.83179,3.11015,1.56197,1.75317,0.66825,0.45207,0.50557,0.26834,0.64725,0.43787,0.47219,0.27159,1.66011,2.61505,1.561,1.88042,0.000971681,0.000971681,0.000971681
78,384.65,1.85454,3.18901,1.5646,1.74629,0.70471,0.44886,0.51512,0.26781,0.70471,0.44886,0.51069,0.27666,1.68211,2.6432,1.49335,1.85923,0.000969847,0.000969847,0.000969847
79,389.107,1.83468,3.14286,1.53873,1.73306,0.69934,0.48864,0.53162,0.29151,0.69167,0.46307,0.51587,0.29477,1.61213,2.64598,1.45537,1.79816,0.000968014,0.000968014,0.000968014
80,393.741,1.78618,3.03684,1.49547,1.69554,0.69756,0.49143,0.52319,0.27694,0.7288,0.47443,0.50919,0.28602,1.64601,2.65488,1.45841,1.81972,0.000966181,0.000966181,0.000966181
81,398.384,1.84245,3.11052,1.50423,1.70948,0.71411,0.47159,0.52036,0.27839,0.68065,0.47727,0.50388,0.29107,1.63294,2.59183,1.44593,1.79655,0.000964348,0.000964348,0.000964348
82,402.984,1.7993,3.03114,1.50247,1.68361,0.74367,0.43182,0.49529,0.27635,0.72505,0.42898,0.48318,0.28121,1.63573,2.60504,1.56303,1.86133,0.000962515,0.000962515,0.000962515
83,407.514,1.78628,3.12935,1.53728,1.71425,0.71178,0.45603,0.52191,0.27754,0.70337,0.4517,0.50581,0.28425,1.62055,2.62781,1.44083,1.82215,0.000960682,0.000960682,0.000960682
84,412.395,1.82434,3.19989,1.50389,1.67839,0.72753,0.45739,0.52055,0.28906,0.72437,0.44318,0.50974,0.30208,1.5975,2.61906,1.43674,1.79673,0.000958849,0.000958849,0.000958849
85,416.953,1.76328,3.10238,1.46178,1.6782,0.71689,0.47727,0.53484,0.29617,0.69152,0.47727,0.5241,0.29952,1.61608,2.59494,1.43253,1.80872,0.000957015,0.000957015,0.000957015
86,421.224,1.67435,2.90896,1.51569,1.68452,0.74538,0.47405,0.53684,0.2859,0.73256,0.45135,0.51077,0.29166,1.61605,2.69384,1.44711,1.80455,0.000955182,0.000955182,0.000955182
87,425.811,1.78605,3.10456,1.47107,1.68318,0.70938,0.49716,0.5469,0.29521,0.70903,0.5,0.53143,0.30426,1.59331,2.61188,1.40893,1.78027,0.000953349,0.000953349,0.000953349
88,430.366,1.74715,2.99532,1.42738,1.65654,0.77825,0.46023,0.54905,0.30133,0.73094,0.47159,0.53678,0.30182,1.62891,2.66044,1.44049,1.78937,0.000951516,0.000951516,0.000951516
89,435.018,1.75645,3.06023,1.4203,1.63526,0.73353,0.49148,0.56586,0.31655,0.71282,0.48295,0.54215,0.32062,1.58698,2.60278,1.38855,1.7699,0.000949683,0.000949683,0.000949683
90,439.511,1.72825,2.98954,1.45842,1.65413,0.72003,0.47727,0.53486,0.29016,0.69982,0.46591,0.5272,0.30107,1.58587,2.5558,1.44343,1.78473,0.00094785,0.00094785,0.00094785
91,444.069,1.77602,3.06501,1.45688,1.67986,0.74869,0.47443,0.53722,0.29517,0.73837,0.46875,0.52106,0.29987,1.60419,2.6178,1.43666,1.80033,0.000946016,0.000946016,0.000946016
92,448.462,1.63088,2.81972,1.37873,1.59401,0.72672,0.49432,0.55742,0.31378,0.72151,0.49716,0.54267,0.32615,1.5539,2.56011,1.36245,1.72981,0.000944183,0.000944183,0.000944183
93,453.004,1.70938,2.9128,1.40634,1.61422,0.7471,0.50356,0.56973,0.31821,0.69804,0.51136,0.55714,0.32852,1.55026,2.4999,1.35641,1.71655,0.00094235,0.00094235,0.00094235
94,457.617,1.72435,2.98072,1.43728,1.63279,0.86865,0.45091,0.56269,0.31416,0.84702,0.4517,0.54798,0.31616,1.56064,2.52352,1.33326,1.75893,0.000940517,0.000940517,0.000940517
95,462.437,1.70394,2.8711,1.39823,1.58756,0.6696,0.51705,0.56582,0.32393,0.68109,0.49432,0.54428,0.32988,1.52302,2.5147,1.32314,1.73212,0.000938684,0.000938684,0.000938684
96,467.061,1.72332,2.93546,1.40392,1.61022,0.78959,0.46908,0.55073,0.3002,0.80432,0.47443,0.53318,0.31497,1.59908,2.47504,1.33432,1.77268,0.000936851,0.000936851,0.000936851
97,471.479,1.71193,2.89845,1.38927,1.60718,0.68212,0.50599,0.553,0.3124,0.68294,0.51136,0.54614,0.31985,1.54979,2.47079,1.31608,1.72936,0.000935018,0.000935018,0.000935018
98,476.1,1.70002,2.94752,1.40345,1.5987,0.78003,0.4858,0.54996,0.31652,0.77547,0.48295,0.54317,0.3212,1.53556,2.51308,1.38257,1.71151,0.000933184,0.000933184,0.000933184
99,480.806,1.66749,2.88989,1.36531,1.58157,0.66878,0.53693,0.57114,0.32413,0.80038,0.4517,0.55187,0.33765,1.50768,2.49116,1.35315,1.66519,0.000931351,0.000931351,0.000931351
100,485.438,1.64903,2.90043,1.34114,1.5938,0.75837,0.51715,0.57784,0.31907,0.75637,0.50852,0.56959,0.32709,1.53352,2.46182,1.37465,1.70792,0.000929518,0.000929518,0.000929518
