epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,158.505,2.64308,3.85016,2.50142,2.44402,0.26524,0.16477,0.12089,0.04552,0.23387,0.17045,0.12473,0.0495,2.49119,3.46358,2.54118,2.56708,0.0010791,0.0010791,0.0010791
31,163.106,2.58637,3.73888,2.48039,2.40334,0.2064,0.21307,0.13194,0.04932,0.22415,0.21307,0.13819,0.05281,2.43452,3.42216,2.37062,2.56262,0.001078,0.001078,0.001078
32,167.642,2.61729,3.87434,2.44515,2.38283,0.22092,0.19034,0.12043,0.04458,0.22422,0.19318,0.12703,0.04978,2.40426,3.37343,2.38349,2.56432,0.0010769,0.0010769,0.0010769
33,172.096,2.56635,3.66013,2.42315,2.39862,0.21427,0.2017,0.12761,0.04692,0.24227,0.20455,0.13533,0.05646,2.44748,3.45311,2.41984,2.57348,0.0010758,0.0010758,0.0010758
34,176.598,2.53705,3.75092,2.39102,2.36984,0.23261,0.19204,0.13861,0.0532,0.21459,0.1875,0.13181,0.05789,2.40218,3.40336,2.40003,2.55559,0.0010747,0.0010747,0.0010747
35,181.022,2.51501,3.6852,2.39226,2.37466,0.23171,0.24148,0.15765,0.06136,0.24168,0.23011,0.15805,0.06904,2.33852,3.32444,2.40022,2.47621,0.0010736,0.0010736,0.0010736
36,185.549,2.51351,3.69426,2.35496,2.35224,0.19462,0.2642,0.1448,0.06059,0.24018,0.21875,0.15133,0.06204,2.33377,3.36557,2.36058,2.51256,0.0010725,0.0010725,0.0010725
37,190.042,2.46397,3.7343,2.33981,2.30346,0.19941,0.26136,0.16601,0.07068,0.20382,0.24716,0.16629,0.07096,2.31395,3.31961,2.31977,2.42262,0.0010714,0.0010714,0.0010714
38,194.727,2.44746,3.71311,2.25909,2.29529,0.26274,0.31818,0.18375,0.07083,0.26133,0.28977,0.17462,0.07078,2.27499,3.32229,2.37906,2.4426,0.0010703,0.0010703,0.0010703
39,199.145,2.36328,3.67105,2.18613,2.23276,0.34592,0.30114,0.22118,0.08707,0.36188,0.2983,0.20923,0.09391,2.22203,3.38976,2.29773,2.37428,0.0010692,0.0010692,0.0010692
40,203.782,2.365,3.62814,2.24467,2.26778,0.35265,0.30643,0.25813,0.10607,0.34664,0.29545,0.25528,0.11328,2.15485,3.22239,2.14545,2.34748,0.0010681,0.0010681,0.0010681
41,208.404,2.31087,3.64674,2.10605,2.15162,0.42284,0.29545,0.30152,0.13263,0.411,0.30398,0.29348,0.14082,2.1176,3.19381,2.02945,2.27942,0.001067,0.001067,0.001067
42,212.874,2.31617,3.5891,2.18495,2.17837,0.33993,0.32625,0.24244,0.10711,0.36153,0.31691,0.25337,0.11687,2.08345,3.19474,2.07927,2.28965,0.0010659,0.0010659,0.0010659
43,217.316,2.34794,3.66853,2.16146,2.20736,0.34944,0.34375,0.27018,0.11955,0.40172,0.3267,0.27781,0.12683,2.10631,3.22165,2.07461,2.25829,0.0010648,0.0010648,0.0010648
44,222.067,2.2718,3.54018,2.02134,2.06337,0.40803,0.33239,0.30506,0.12548,0.45073,0.28977,0.30052,0.13777,2.12109,3.12956,2.04417,2.28675,0.0010637,0.0010637,0.0010637
