# image det_index cls kpt_index u v depth_m X Y Z
DJI_20230823160823_0063_D 33 0 2 970.88 773.97 4.1948 -1.9126 -1.3795 4.1948
DJI_20230823160823_0063_D 33 0 3 996.05 787.15 4.2203 -1.8952 -1.3727 4.2203
DJI_20230823160823_0063_D 33 0 4 972.23 787.50 4.1956 -1.9114 -1.3643 4.1956
DJI_20230823160823_0063_D 33 0 5 975.87 795.62 4.2001 -1.9093 -1.3564 4.2001
DJI_20230823160823_0063_D 33 0 6 637.93 754.00 4.1812 -2.2868 -1.3978 4.1812
DJI_20230823160823_0063_D 33 0 7 621.99 815.80 4.2384 -2.3366 -1.3454 4.2384
DJI_20230823160823_0063_D 34 0 0 4059.80 1704.75 2.0702 0.8034 -0.1543 2.0702
DJI_20230823160823_0063_D 34 0 1 4077.51 1499.63 2.0423 0.8025 -0.2667 2.0423
DJI_20230823160823_0063_D 34 0 2 4137.26 1522.18 2.0275 0.8298 -0.2522 2.0275
DJI_20230823160823_0063_D 34 0 3 4137.57 1721.36 2.0417 0.8358 -0.1429 2.0417
DJI_20230823160823_0063_D 34 0 4 4139.23 1726.42 2.0438 0.8375 -0.1402 2.0438
DJI_20230823160823_0063_D 34 0 5 4161.25 1521.11 2.0176 0.8390 -0.2516 2.0176
DJI_20230823160823_0063_D 34 0 6 4075.21 1499.48 2.0433 0.8016 -0.2669 2.0433
DJI_20230823160823_0063_D 34 0 7 4055.56 1706.73 2.0719 0.8017 -0.1533 2.0719
DJI_20230823160823_0063_D 35 0 0 612.84 917.10 4.3693 -2.4196 -1.2660 4.3693
DJI_20230823160823_0063_D 35 0 1 653.62 835.77 4.1842 -2.2705 -1.3054 4.1842
DJI_20230823160823_0063_D 35 0 2 916.77 831.46 4.1280 -1.9432 -1.2927 4.1280
DJI_20230823160823_0063_D 35 0 3 901.55 915.78 4.1248 -1.9589 -1.1967 4.1248
DJI_20230823160823_0063_D 35 0 4 901.67 915.95 4.1248 -1.9587 -1.1965 4.1248
DJI_20230823160823_0063_D 35 0 5 942.86 841.26 4.1440 -1.9212 -1.2866 4.1440
DJI_20230823160823_0063_D 35 0 6 667.31 843.72 4.1602 -2.2419 -1.2888 4.1602
DJI_20230823160823_0063_D 35 0 7 624.74 930.99 4.3351 -2.3866 -1.2397 4.3351
