epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,140.927,0.80061,4.11172,0.52899,0.73145,1.19245,0.92915,0.7027,0.83123,0.69377,0.82485,0.58929,0.59256,0.41551,0.66406,3.98619,0.58682,0.62496,1.21189,0.00192646,0.00192646,0.00192646
28,145.637,0.8125,4.07897,0.53136,0.72647,1.20075,0.93941,0.66071,0.82723,0.67395,0.76611,0.53571,0.55291,0.37954,0.73559,4.31224,0.58003,0.76416,1.20484,0.00192363,0.00192363,0.00192363
29,150.352,0.8168,3.87378,0.52179,0.72972,1.20359,0.73273,0.8323,0.84803,0.67456,0.77387,0.55357,0.55432,0.36709,0.74679,4.06016,0.57075,0.79925,1.22927,0.0019208,0.0019208,0.0019208
30,155.03,0.81668,3.8437,0.52054,0.72458,1.20826,0.84065,0.84794,0.88097,0.71928,0.86544,0.57143,0.62843,0.43518,0.6723,3.67188,0.56568,0.64614,1.15609,0.00191797,0.00191797,0.00191797
31,159.802,0.79235,3.94186,0.52254,0.70753,1.18853,0.84743,0.79355,0.84283,0.70936,0.70392,0.59443,0.59882,0.3883,0.62858,4.20457,0.57259,0.68295,1.159,0.00191514,0.00191514,0.00191514
32,164.552,0.76594,3.7421,0.51751,0.66913,1.16904,0.92681,0.76786,0.84327,0.7108,0.76594,0.60714,0.63699,0.4544,0.703,3.76722,0.58005,0.54742,1.25214,0.00191231,0.00191231,0.00191231
33,169.233,0.77483,3.67133,0.51149,0.69743,1.1628,0.92057,0.76786,0.8571,0.73931,0.74901,0.69283,0.67885,0.5015,0.61485,3.67061,0.5729,0.57237,1.14717,0.00190949,0.00190949,0.00190949
34,173.985,0.74905,3.65138,0.51841,0.6763,1.15582,0.87324,0.86118,0.8692,0.74052,0.84377,0.60714,0.6186,0.41734,0.61243,3.81281,0.5671,0.53627,1.17507,0.00190666,0.00190666,0.00190666
35,178.691,0.74283,3.49702,0.52004,0.66238,1.14952,0.91529,0.76786,0.84685,0.72075,0.83512,0.57143,0.56082,0.40578,0.64941,4.17242,0.56235,0.56533,1.15896,0.00190383,0.00190383,0.00190383
36,183.411,0.74269,3.59578,0.51299,0.64717,1.14818,0.97824,0.80277,0.9058,0.76925,0.87207,0.58929,0.65389,0.48862,0.65867,3.74434,0.56424,0.5604,1.14416,0.001901,0.001901,0.001901
37,188.148,0.73812,3.42454,0.50905,0.64997,1.14724,0.89894,0.83929,0.8814,0.72391,0.83583,0.57143,0.58737,0.41862,0.64283,3.97305,0.57135,0.59514,1.16266,0.00189817,0.00189817,0.00189817
38,192.854,0.75549,3.55588,0.51303,0.66136,1.15711,0.88767,0.84673,0.88992,0.73403,0.8811,0.625,0.65773,0.44974,0.66062,3.67898,0.56501,0.56145,1.16415,0.00189534,0.00189534,0.00189534
39,197.525,0.75328,3.66844,0.51251,0.64909,1.14674,0.93282,0.744,0.85375,0.71535,0.8493,0.60388,0.61854,0.4785,0.69426,3.75631,0.5564,0.56854,1.22585,0.00189251,0.00189251,0.00189251
40,202.244,0.75083,3.39191,0.51547,0.64497,1.13879,0.90274,0.78571,0.86237,0.72098,0.8673,0.60714,0.6368,0.47548,0.70547,3.70604,0.54499,0.57245,1.2139,0.00188969,0.00188969,0.00188969
41,206.965,0.75024,3.39131,0.50509,0.65703,1.15358,0.92036,0.82549,0.88061,0.72582,0.82721,0.59855,0.63317,0.42198,0.69587,3.84747,0.57742,0.596,1.25027,0.00188686,0.00188686,0.00188686
42,211.684,0.72615,3.53833,0.50419,0.63618,1.12669,0.85972,0.76609,0.84847,0.70755,0.81209,0.625,0.6123,0.41835,0.68735,3.74235,0.54725,0.65755,1.19295,0.00188403,0.00188403,0.00188403
43,216.362,0.70898,3.30506,0.50776,0.61907,1.13245,0.84045,0.82143,0.8465,0.71376,0.87126,0.60429,0.62417,0.45333,0.69141,3.8613,0.53956,0.6295,1.17395,0.0018812,0.0018812,0.0018812
44,221.085,0.73824,3.41677,0.51041,0.63676,1.15123,0.94682,0.78571,0.8908,0.76566,0.74855,0.638,0.63553,0.46652,0.60362,3.59655,0.54604,0.50247,1.15127,0.00187837,0.00187837,0.00187837
45,225.805,0.72324,3.2326,0.49791,0.62313,1.12699,0.93169,0.73075,0.83293,0.70976,0.87491,0.62451,0.6522,0.43969,0.62414,3.78276,0.53573,0.6303,1.15473,0.00187554,0.00187554,0.00187554
46,230.538,0.71854,3.52229,0.50113,0.61991,1.11967,0.87195,0.78571,0.87967,0.7272,0.76879,0.60714,0.60212,0.43352,0.63961,3.67273,0.54189,0.62796,1.17404,0.00187271,0.00187271,0.00187271
47,235.302,0.74112,3.39346,0.50467,0.62817,1.13168,0.85675,0.80357,0.81586,0.69146,0.83987,0.60714,0.62628,0.50091,0.63373,3.69274,0.53947,0.64555,1.23543,0.00186989,0.00186989,0.00186989
48,240.082,0.69435,3.24018,0.49308,0.6078,1.10703,0.87811,0.77191,0.84634,0.70216,0.84448,0.58929,0.6117,0.4195,0.71248,4.01742,0.53461,0.63689,1.27062,0.00186706,0.00186706,0.00186706
49,244.896,0.70358,3.21836,0.49609,0.6145,1.10842,0.90556,0.75,0.85142,0.72513,0.82783,0.58929,0.62418,0.47723,0.61492,3.58411,0.53278,0.58088,1.15998,0.00186423,0.00186423,0.00186423
50,249.638,0.71862,3.19773,0.49103,0.61167,1.12599,0.89893,0.79423,0.84847,0.71594,0.84707,0.59355,0.64141,0.48207,0.60605,3.60134,0.52981,0.53982,1.19484,0.0018614,0.0018614,0.0018614
51,254.419,0.67596,3.18087,0.48823,0.58587,1.10969,0.8866,0.83772,0.86648,0.73226,0.78073,0.63592,0.63297,0.4805,0.62409,3.35646,0.53438,0.54149,1.18099,0.00185857,0.00185857,0.00185857
52,259.216,0.69703,3.04232,0.48365,0.61344,1.11434,0.90969,0.78571,0.85954,0.73868,0.79971,0.57042,0.5705,0.37602,0.59592,3.86834,0.5261,0.53962,1.17511,0.00185574,0.00185574,0.00185574
53,263.993,0.68783,3.02393,0.49125,0.59962,1.10439,0.85296,0.82876,0.86687,0.72482,0.81969,0.56832,0.62509,0.46489,0.6202,3.62805,0.51943,0.57979,1.15655,0.00185291,0.00185291,0.00185291
54,268.835,0.71367,3.23541,0.4877,0.62774,1.12522,0.87449,0.83929,0.88274,0.76653,0.89513,0.625,0.67309,0.47626,0.59597,3.53492,0.5474,0.54387,1.14683,0.00185009,0.00185009,0.00185009
