epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,138.99,1.50138,5.78788,0.55423,1.48981,1.95534,0.89204,0.57143,0.71477,0.49729,0.7171,0.44643,0.42073,0.21555,1.17656,4.99094,0.597,1.2161,1.8125,0.00192646,0.00192646,0.00192646
28,143.704,1.4622,5.64721,0.55425,1.44003,1.93003,0.80834,0.67784,0.74482,0.5275,0.65727,0.48214,0.48832,0.30467,1.09943,4.67817,0.60021,1.08053,1.7858,0.00192363,0.00192363,0.00192363
29,148.471,1.44053,5.53348,0.54812,1.43762,1.91557,0.80839,0.67804,0.73281,0.52112,0.69826,0.45469,0.47212,0.29371,1.0944,4.74979,0.61112,1.1264,1.75992,0.0019208,0.0019208,0.0019208
30,153.303,1.45377,5.46579,0.55015,1.41821,1.89566,0.87494,0.67857,0.73739,0.51537,0.68087,0.53571,0.50864,0.34009,1.17271,4.54523,0.61414,1.14006,1.81879,0.00191797,0.00191797,0.00191797
31,158.115,1.4326,5.6182,0.54966,1.407,1.87949,0.76723,0.71429,0.7171,0.50151,0.80106,0.41071,0.48911,0.3333,1.18967,4.78339,0.62179,1.10048,1.83884,0.00191514,0.00191514,0.00191514
32,162.869,1.38087,5.44304,0.54744,1.32848,1.83934,0.8345,0.60714,0.69765,0.51848,0.76639,0.48214,0.53578,0.36495,1.1043,4.65279,0.6037,1.15414,1.71804,0.00191231,0.00191231,0.00191231
33,167.546,1.41361,5.1703,0.54405,1.33101,1.84675,0.82538,0.60714,0.70738,0.50534,0.747,0.42857,0.43657,0.27191,1.16073,4.95897,0.60706,1.13167,1.7435,0.00190949,0.00190949,0.00190949
34,172.291,1.35339,5.24055,0.54961,1.29718,1.8067,0.78806,0.69643,0.76005,0.57841,0.66696,0.57143,0.53335,0.33901,1.00589,4.53883,0.59268,1.08107,1.64023,0.00190666,0.00190666,0.00190666
35,177.022,1.34546,5.24443,0.54839,1.29582,1.77861,0.74492,0.7301,0.74105,0.51539,0.74252,0.41071,0.41257,0.25693,1.16779,4.88441,0.58885,1.1191,1.77819,0.00190383,0.00190383,0.00190383
36,181.937,1.32947,5.14901,0.5468,1.26512,1.77761,0.92793,0.68983,0.76845,0.57247,0.75728,0.55721,0.54058,0.3559,1.00297,4.49794,0.60329,0.93443,1.60414,0.001901,0.001901,0.001901
37,186.634,1.31133,4.95009,0.54264,1.25744,1.74909,0.78256,0.67857,0.74763,0.53493,0.6622,0.4902,0.50368,0.30737,1.05177,4.64903,0.60057,1.05951,1.67567,0.00189817,0.00189817,0.00189817
38,191.371,1.28225,5.13813,0.54648,1.2449,1.73862,0.89087,0.64286,0.76252,0.56496,0.69813,0.49566,0.53449,0.35846,1.03459,4.41047,0.60431,1.05544,1.63655,0.00189534,0.00189534,0.00189534
