epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2398,3.83892,10.9204,4.56228,4.27983,0,0,0,0,0,0,0,0,4.14294,5.19445,4.09073,4.16,0.00018577,0.00018577,0.00018577
2,28.9848,3.97395,6.20872,4.41649,4.18968,0,0,0,0,0,0,0,0,4.14626,5.18021,4.09075,4.16092,0.000385284,0.000385284,0.000385284
3,33.556,4.04728,4.99564,4.32162,4.10017,0,0,0,0,0,0,0,0,4.1466,5.13138,4.09209,4.16197,0.000584233,0.000584233,0.000584233
4,38.2602,3.9114,4.60734,4.07088,3.96491,0,0,0,0,0,0,0,0,4.16127,4.87673,4.09993,4.18903,0.000782615,0.000782615,0.000782615
5,42.8974,3.95606,4.50981,3.83352,3.83798,0,0,0,0,0,0,0,0,4.32051,4.23504,4.16848,4.373,0.000980432,0.000980432,0.000980432
6,47.567,3.85871,4.4532,3.61616,3.69775,0.01852,0.01136,0.00947,0.0026,0.02315,0.0142,0.01186,0.00472,4.33888,4.07795,4.30253,4.49161,0.00117768,0.00117768,0.00117768
7,52.0867,3.7903,4.30705,3.55507,3.56077,0.00522,0.0142,0.00275,0.00071,0.00627,0.01705,0.0033,0.00108,4.24654,4.77135,4.37421,4.5603,0.00137437,0.00137437,0.00137437
8,56.8268,3.73714,4.36435,3.42128,3.48654,0.00608,0.00852,0.00231,0.0007,0.01175,0.0142,0.0036,0.00134,4.0852,4.77065,4.31956,4.35069,0.00141485,0.00141485,0.00141485
9,61.5646,3.584,4.33094,3.36038,3.42563,0.01966,0.01989,0.0061,0.00147,0.0359,0.03409,0.00833,0.00293,3.86237,4.59737,3.91675,4.01493,0.00141283,0.00141283,0.00141283
10,66.1419,3.4503,4.28092,3.33141,3.33699,0.01804,0.03693,0.00556,0.00149,0.02147,0.03977,0.0059,0.00189,3.50988,5.02401,3.91361,3.71683,0.00141081,0.00141081,0.00141081
11,70.4463,3.37034,4.0952,3.34565,3.24451,0.01833,0.04545,0.00656,0.00191,0.0242,0.05682,0.00779,0.00204,3.39595,7.09694,4.08747,3.52252,0.00140879,0.00140879,0.00140879
12,75.1277,3.2902,4.29051,3.23509,3.15227,0.03293,0.03409,0.00908,0.00239,0.04066,0.05966,0.01035,0.0034,3.29505,4.07903,3.56411,3.3731,0.00140677,0.00140677,0.00140677
13,79.7135,3.26093,4.11646,3.17488,3.0644,0.01407,0.04261,0.00722,0.00251,0.01343,0.09091,0.00751,0.0027,3.36635,3.99872,4.02924,3.24862,0.00140475,0.00140475,0.00140475
